Keyword Tracker ,,,,,,
,,,,,,
,,,,,,
Model Agency,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,2,1091,0.18,72.39,
02/10/23,,1,924,0.1,69.1,
21/12/23,,1,538,0.2,71.6,
09/02/24,,0,255,0,56,
,,1,702,0.12,67.2725,
,,,,,,
Model Agency London,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,2,850,0.24,55.23,
02/10/23,,13,1047,1.2,41.7,
21/12/23,,2,703,0.3,54.4,
09/02/24,,3,417,0.7,51,
,,5,754.25,0.61,50.5825,
,,,,,,
London Model Agencies,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,0,108,0,74.98,
02/10/23,,2,542,0.4,54.6,
21/12/23,,0,419,0,61.9,
09/02/24,,0,271,0,49.9,
,,0.5,335,0.1,60.345,
,,,,,,
London Model Agency,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,1,403,0.25,72.47,
02/10/23,,1,621,0.2,46.6,
21/12/23,,1,568,0.2,54.8,
09/02/24,,0,369,0,51.7,
,,0.75,490.25,0.1625,56.3925,
,,,,,,
Male Models London,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,0,296,0,61.69,
02/10/23,,3,243,1.2,33.7,
21/12/23,,0,184,0,38.3,
09/02/24,,0,116,0,31.8,
,,0.75,209.75,0.3,41.3725,
,,,,,,
Curvy Model Agency,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,4,549,0.72,32.66,
02/10/23,,1,280,0.4,49.3,
21/12/23,,1,209,0.5,46.3,
09/02/24,,2,116,1.7,36.8,
,,2,288.5,0.83,41.265,
,,,,,,
Big and Tall Model Agency,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,0,10,0,20,
02/10/23,,0,8,0,31.4,
21/12/23,,0,8,0,40.3,
09/02/24,,1,5,20,21.4,
,,0.25,7.75,5,28.275,
,,,,,,
Plus Size Model Agency,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,1,686,0.15,26.37,
02/10/23,,6,580,1,56.2,
21/12/23,,4,473,0.8,49.5,
09/02/24,,3,275,1.1,24,
,,3.5,503.5,0.7625,39.0175,
,,,,,,
Plus Size Model Agency UK,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,1,378,0.26,0,
02/10/23,,3,313,1,13.3,
21/12/23,,2,307,0.7,11.6,
09/02/24,,2,198,1,9.9,
,,2,299,0.74,8.7,
,,,,,,
Curve Models London,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,4,41,9.76,10.85,
02/10/23,,2,29,6.9,12.4,
21/12/23,,0,5,0,12,
09/02/24,,3,19,15.8,12,
,,2.25,23.5,8.115,11.8125,
,,,,,,
Plus Size Models London,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,1,64,1.56,9.16,
02/10/23,,5,81,6.2,8.9,
21/12/23,,0,56,0,9,
09/02/24,,3,30,10,9.8,
,,2.25,57.75,4.44,9.215,
,,,,,,
London Influencer Agency,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,0,80,0,82.08,
02/10/23,,0,38,0,41.9,
21/12/23,,0,24,0,33,
09/02/24,,1,8,12.5,34.6,
,,0.25,37.5,3.125,47.895,
,,,,,,
Influencers,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,1,359,0.47,65.9,
02/10/23,,0,0,0,0,
21/12/23,,0,0,0,0,
09/02/24,,0,0,0,0,
,,0.25,89.75,0.1175,16.475,
,,,,,,
Models,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,0,11,0,4.4,
02/10/23,,0,29,0,7,
21/12/23,,0,20,0,7.4,
09/02/24,,0,2,0,8,
,,0,15.5,0,6.7,
,,,,,,
Male Models New York,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,0,0,0,67.25,
02/10/23,,0,5,0,88.6,
21/12/23,,0,2,0,83,
09/02/24,,0,0,0,0,
,,0,1.75,0,59.7125,
,,,,,,
Models New York,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,0,12,0,68.33,
02/10/23,,0,25,0,67,
21/12/23,,0,17,0,79.9,
09/02/24,,0,20,0,87.3,
,,0,18.5,0,75.6325,
,,,,,,
New York Models,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,0,46,0,72.83,
02/10/23,,0,93,0,66.8,
21/12/23,,0,105,0,74.2,
09/02/24,,0,16,0,85.6,
,,0,65,0,74.8575,
,,,,,,
New York Model Agency,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,1,23,4.35,64.78,
02/10/23,,1,61,1.6,69.7,
21/12/23,,0,39,0,73.6,
09/02/24,,0,16,0,65.9,
,,0.5,34.75,1.4875,68.495,
,,,,,,
Big and Tall Models New York,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,0,0,0,0,
02/10/23,,0,0,0,0,
21/12/23,,0,0,0,0,
09/02/24,,0,0,0,0,
,,0,0,0,0,
,,,,,,
New York Influencer Agency,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,0,0,0,0,
02/10/23,,0,1,0,50,
21/12/23,,0,0,0,0,
09/02/24,,0,0,0,0,
,,0,0.25,0,12.5,
,,,,,,
Plus Size Models,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,2,547,0.37,38.87,
02/10/23,,9,833,1.1,38.8,
21/12/23,,0,653,0,43.3,
09/02/24,,5,396,1.3,35.8,
,,4,607.25,0.6925,39.1925,
,,,,,,
Curve Models,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,5,127,3.94,19.54,
02/10/23,,0,58,0,75.6,
21/12/23,,4,184,2.2,42.4,
09/02/24,,3,83,3.6,39.4,
,,3,113,2.435,44.235,
,,,,,,
Big and Tall Models,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,0,13,0,38.85,
02/10/23,,0,3,0,45,
21/12/23,,0,8,0,87.6,
09/02/24,,0,7,0,72.3,
,,0,7.75,0,60.9375,
,,,,,,
Plus Size Influencers,,,,,,
Name,Subitems,Clicks,Impressions,CTR,Position,Notes
15/03/23,,1,212,0.47,65.9,
02/10/23,,0,1,0,83,
21/12/23,,0,17,0,72.6,
09/02/24,,0,38,0,80.6,
,,0.25,67,0.1175,75.525,
